matchedPattern,count
K2HPO4,8918
P21212,6690
C9ORF7,6481
B6C3F1,5538
U2AF65,4717
H2AK11,2131
T2N0M0,1802
T1N0M0,1779
B6D2F1,1569
T3N0M0,1549
U2AF35,1373
P30CA0,1311
P388D1,1274
P20GM1,937
T3N1M0,918
P43212,845
H2BK12,834
C2H3O2,815
P19CL6,761
C6H6N2,750
T2N1M0,747
P30DK0,715
P41212,687
T4N0M0,606
D2S123,598
P20RR0,593
D5S346,543
H3K122,527
K2S2O8,504
P2RY12,459
D7S820,441
P30EY0,440
P30ES0,440
D3S135,438
P12510,433
D5S818,423
C6H2N3,416
P10008,404
D8S117,401
T4N1M0,394
T3N2M0,390
C7H5O3,374
B4GAT1,374
H3GA00,373
C8H4O4,372
P41GM1,364
P50CA1,363
C3H4N2,356
C7H5O2,345
P02768,341
C8H7O2,338
C2H8N2,337
P30CA1,334
T1N1M0,330
P04637,322
T2N2M0,321
D2S133,315
C6H9N2,314
P30AI0,313
B3GNT1,295
B3PW91,292
C5H7O2,290
P50CA0,289
C4CS00,284
R1R2R3,272
P30AG0,269
P30GM1,252
P41RR0,252
T4N2M0,250
P00738,249
P42ES0,243
P01009,243
P60709,240
C1CS15,238
N6AMT1,237
C4H4N2,235
C2H4O2,234
N1E115,232
C5H3N2,231
B3GNT3,227
C8H7N3,227
C2ORF3,226
P02647,225
P20RR1,225
C7H7N2,223
D9S171,223
H3K9K1,219
C2H6O2,217
P50GM0,216
C7ORF4,216
C7H7O3,214
P01CA1,214
B3GNT2,211
C5H7N2,209
C4H4O4,207
C8H7O3,206
P01024,204
P01AG0,204
C3CS60,200
C6H8N2,199
